"Estacao";"Data";"Hora";"Precipitacao";"TempMaxima";"TempMinima";"Insolacao";"Evaporacao.Piche";"Temp.Comp.Media";"Umidade.Relativa.Media";"Velocidade.do.Vento.Media";"X";"estacao";"lat";"long";"alt"
82989;"15/02/1977";1200;0;NA;19,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"16/02/1977";0;NA;30,6;NA;9,7;NA;24,12;63,5;7,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"16/02/1977";1200;0;NA;19;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"17/02/1977";0;NA;30,8;NA;9,5;NA;24,32;63,25;8;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"17/02/1977";1200;0;NA;19,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"18/02/1977";0;NA;31,5;NA;10,1;NA;24,18;66,25;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"18/02/1977";1200;0;NA;18,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"19/02/1977";0;NA;31,3;NA;8,5;NA;24,36;66,5;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"19/02/1977";1200;0;NA;19,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"20/02/1977";0;NA;29,8;NA;3,8;NA;23,88;66;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"20/02/1977";1200;0;NA;20;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"21/02/1977";0;NA;30,2;NA;6,7;NA;24,18;63;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"21/02/1977";1200;0;NA;19,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"22/02/1977";0;NA;30,1;NA;7,2;NA;24,3;63,75;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"22/02/1977";1200;0;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"23/02/1977";0;NA;30,1;NA;6,1;NA;23,98;66,75;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"23/02/1977";1200;0;NA;19,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"24/02/1977";0;NA;30,7;NA;6,9;NA;23,8;71,75;7,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"24/02/1977";1200;0;NA;19,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"25/02/1977";0;NA;28,2;NA;0,5;NA;23,24;79,25;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"25/02/1977";1200;0;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"26/02/1977";0;NA;27,5;NA;0,7;NA;22,56;87,25;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"26/02/1977";1200;4,5;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"27/02/1977";0;NA;30,5;NA;7,8;NA;24,08;70;8;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"27/02/1977";1200;0;NA;19,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"28/02/1977";0;NA;30,7;NA;6,6;NA;24,18;68;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"28/02/1977";1200;0;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"01/03/1977";0;NA;31,5;NA;8,9;NA;24,48;67,5;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"01/03/1977";1200;0;NA;19,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"02/03/1977";0;NA;31,7;NA;8,8;NA;24,6;65,75;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"02/03/1977";1200;0;NA;19,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"03/03/1977";0;NA;30,7;NA;7,4;NA;24,58;64,75;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"03/03/1977";1200;0;NA;20;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"04/03/1977";0;NA;30,5;NA;7,1;NA;24,46;64;7,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"04/03/1977";1200;0;NA;20;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"05/03/1977";0;NA;31,1;NA;9;NA;24,42;63,75;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"05/03/1977";1200;0;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"06/03/1977";0;NA;31,1;NA;10;NA;24,08;65,5;8,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"06/03/1977";1200;0;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"07/03/1977";0;NA;31,6;NA;8,2;NA;24,88;68,5;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"07/03/1977";1200;0;NA;20,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"08/03/1977";0;NA;29,5;NA;7,1;NA;23,7;76,5;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
